id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,empty,1,58560,39.183673469387756,58560,39.183673469387756,0,0.05899930000305176
2021-04-06-10,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,58560,39.183673469387756,,,,300
2021-04-06-11,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,30630,45.51724137931034,,,,300
2021-04-06-6,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,54690,12.5,,,,300
2021-04-06-7,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,74205,47.785714285714285,,,,300
2021-04-06-8,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,empty,1,83100,58.43283582089552,83100,58.43283582089552,0,0.02399897575378418
2021-04-06-8,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,83100,58.43283582089552,,,,300
2021-04-06-9,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,41820,21.6,,,,300
2021-04-07-10,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,62760,23.048780487804876,,,,300
2021-04-07-11,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,26325,23.076923076923077,,,,300
2021-04-07-6,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,empty,1,43950,11.666666666666666,43950,11.666666666666666,0,0.004999637603759766
2021-04-07-6,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,43950,11.666666666666666,,,,300
2021-04-07-7,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,57075,33.214285714285715,,,,300
2021-04-07-8,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,empty,1,58110,36.09375,58110,36.09375,0,0.022998809814453125
2021-04-07-8,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,58110,36.09375,,,,300
2021-04-07-9,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,59310,31.296296296296298,,,,300
2021-04-08-10,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,empty,1,36840,7,36840,7,0,0.0029990673065185547
2021-04-08-10,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,36840,7,,,,300
2021-04-08-11,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,18600,13.043478260869565,,,,300
2021-04-08-6,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,63420,28.085106382978722,,,,300
2021-04-08-7,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,63855,36.19047619047619,,,,300
