id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
941,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,2457,96.0,2469,96.44444444444444,0,0.2642478942871094
341,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,915,5.6,,,,61.457624673843384
894,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,981,21.3,995,21.4,0,2.9704489707946777
575,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,non-empty,496,3209,126.625,4145,127.125,0.0,288.4352307319641
132,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,exhausted,,347,25.8,,,,0.33667421340942383
518,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,6289,86.83333333333333,,,,300
31,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,2137,33.18181818181818,,,,300
675,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,4784,59.0,,,,300
936,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,timeout,,12179,255.33333333333334,,,,300
720,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,16258,284.4,16494,285.4,0,1.4994659423828125
26,calculate_avg_wait_time,0.005,0.01,SWAP_ALL,empty,1,969,15.692307692307692,993,15.692307692307692,0,0.1713554859161377
